"","sex","age","education","mdp1","mdu1","mdu2","mdu3","mdp2","mdu4","mdp3","mdp4","hh.sinc1","hh.fair1","hh.greed1","hh.mod1","hh.sinc2","hh.fair2","hh.greed2","hh.mod2","hh.sinc3","hh.fair3","hh.greed3","hh.mod3","hh.sinc4","hh.fair4","hh.greed4","hh.mod4","alt1","alt2","alt3","alt4","npi1","npi2","npi3","npi4","npi5","npi6","npi7","npi8","npi9","npi10","npi11","npi12","npi13","npi14","npi15","mach1","mach2","mach3","mach4","mach5","dc1","dc2","dc3","dc4","dc5","dc6","dc7","dc8","dc9","dc10","dc11","dc12","dc13","dc14","dc15","dc16","srp1","srp2","srp3","srp4","srp5","srp6","srp7","srp8","srp9","srp10","srp11","srp12","srp13","srp14","srp15","srp16","srp17","srp18","srp19","srp20","srp21","srp22","srp23","srp24","srp25","srp26","srp27","srp28","srp29","srp30","srp31","sinc.facet","fair.facet","greed.facet","mod.facet","hh.total","altruism","mdp.facet","mdu.facet","md.total","dc.total","mach.total","npi.total","srp.total"
"11","2",22,"4",-2,-1,-2,-1,1,1,-1,1,3,1,3,2,3,4,3,5,4,3,2,5,3,2,2,5,5,4,3,4,2,2,4,2,5,2,3,3,2,3,4,3,3,3,2,2,1,1,1,4,2,3,1,2,1,2,1,2,2,3,4,3,1,1,2,1,5,1,3,2,2,1,1,3,2,1,1,1,3,1,2,1,2,2,1,2,1,5,2,1,1,1,1,5,1,1,1,3.25,2.5,2.5,4.25,3.125,4,-1,-3,-4,1.9375,1.8,2.86666666666667,1.83333333333333
"12","2",28,"5",-2,-2,-1,-2,-1,1,-1,1,2,4,3,4,2,3,4,4,2,4,4,2,2,4,4,3,5,2,2,2,5,3,4,3,5,5,1,1,4,5,4,5,4,3,3,5,1,1,3,1,2,1,1,1,3,3,2,2,2,2,2,2,3,2,2,1,4,2,1,4,2,1,4,4,3,2,2,1,1,2,5,3,3,3,1,3,1,1,2,3,1,5,1,4,1,1,1,2,3.75,3.75,3.25,3.1875,2.75,-3,-4,-7,1.9375,2.2,3.66666666666667,2.26666666666667
"13","1",58,"3",-2,-2,-2,-2,-2,-2,-2,-2,5,4,4,3,4,4,5,4,5,2,3,4,2,5,4,4,4,4,5,3,4,3,4,3,5,5,3,5,5,5,3,5,1,5,1,5,2,3,2,2,2,2,4,2,1,2,4,4,2,2,3,1,1,4,1,2,4,1,1,5,1,1,1,3,3,2,3,3,1,1,2,1,4,1,1,2,1,1,1,3,1,1,1,1,1,1,1,4,3.75,4,3.75,3.875,4,-8,-8,-16,2.3125,2.8,3.8,1.63333333333333
"14","2",27,"5",-2,2,1,-2,-2,-2,-2,-2,3,1,4,5,5,2,5,5,4,2,4,4,4,2,4,4,5,4,5,4,5,3,3,4,5,4,6,4,4,1,6,5,5,5,4,1,1,3,2,4,1,1,1,3,1,1,2,4,2,4,1,2,2,1,4,1,4,1,1,2,2,1,1,4,4,3,1,4,4,3,2,4,3,2,1,3,1,1,1,5,1,5,5,4,1,3,2,4,1.75,4.25,4.5,3.625,4.5,-8,-1,-9,1.9375,2.2,4.26666666666667,2.56666666666667
"15","1",53,"5",-2,-2,-2,-2,-2,1,-2,-2,3,3,4,5,5,3,4,5,4,4,5,4,5,3,4,5,4,4,4,5,4,2,2,3,4,4,2,1,3,2,2,5,2,4,2,2,3,2,3,1,2,3,2,2,2,1,2,3,2,3,2,1,2,2,1,2,3,1,1,2,4,3,1,3,3,2,2,4,2,2,4,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,1,4.25,3.25,4.25,4.75,4.125,4.25,-8,-5,-13,2,2.2,2.8,1.96666666666667
"16","1",22,"3",-1,-2,-2,-2,1,-2,-1,-1,3,5,5,5,2,4,4,5,4,4,4,5,4,4,5,4,3,4,5,4,2,4,3,3,2,4,1,3,2,3,3,3,4,3,2,5,4,6,2,1,2,4,2,3,3,1,3,2,3,2,3,4,2,2,1,2,4,2,4,4,1,2,2,3,2,5,3,1,1,1,4,2,2,5,3,1,1,1,1,3,1,2,1,1,1,1,1,3.25,4.25,4.5,4.75,4.1875,4,-2,-8,-10,2.4375,3.6,2.8,2.06666666666667
"17","2",19,"4",-2,1,-1,-2,2,1,-2,-2,3,2,2,4,4,3,3,3,3,3,2,5,5,3,2,4,4,4,2,3,2,3,2,2,2,1,1,3,4,1,1,1,2,2,2,6,5,4,2,1,2,3,1,2,2,3,1,3,2,2,4,1,3,2,5,5,4,1,1,1,3,1,2,3,1,2,3,1,2,2,3,2,5,3,1,1,1,1,1,3,3,2,4,1,1,1,1,3.75,2.75,2.25,4,3.1875,3.25,-4,-1,-5,2.5625,3.6,1.93333333333333,2
"18","1",43,"4",-2,-2,1,1,-2,-2,-2,-2,4,3,3,3,3,2,1,4,4,2,5,4,4,3,2,2,3,1,4,4,6,3,3,6,5,4,5,3,4,3,4,6,3,5,5,3,1,4,2,1,2,3,3,1,3,2,3,2,2,3,1,3,2,1,1,4,1,3,1,3,3,5,5,4,3,2,1,2,5,5,5,2,3,5,2,5,2,1,2,4,4,5,5,5,5,3,1,3.75,2.5,2.75,3.25,3.0625,3,-8,-2,-10,2.25,2.2,4.33333333333333,3.3
"19","2",20,"4",-2,2,-1,-2,2,1,-1,-2,3,2,2,3,2,5,2,3,5,3,2,3,4,4,2,3,4,4,3,5,4,4,3,5,5,4,3,5,4,3,4,5,6,5,4,4,2,2,3,1,2,1,1,2,4,1,3,2,2,3,1,1,1,2,3,1,4,1,1,4,2,1,1,4,3,2,2,2,1,1,4,1,5,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3.5,3.5,2,3,3,4,-3,0,-3,1.875,2.4,4.26666666666667,1.83333333333333
"20","1",25,"5",-1,-2,1,-2,2,1,2,-1,3,5,4,5,4,3,3,4,4,4,5,5,5,5,5,5,5,4,4,5,6,2,2,6,5,3,3,4,2,2,5,4,4,5,3,4,4,2,2,3,1,1,1,2,1,4,5,2,2,3,2,1,1,1,1,1,4,1,1,5,1,1,1,4,1,1,2,3,1,4,4,3,3,2,3,1,1,1,1,5,2,3,1,1,1,1,1,4,4.25,4.25,4.75,4.3125,4.5,2,-2,0,1.8125,3,3.73333333333333,1.96666666666667
"21","1",55,"3",-2,-2,-2,-2,-2,2,-2,-2,5,3,5,3,4,4,5,4,5,2,5,5,5,3,5,3,5,4,4,4,2,1,3,5,6,2,5,1,1,1,6,2,1,1,3,5,5,1,3,1,1,1,1,1,1,2,1,1,1,1,4,1,3,2,1,2,2,5,1,4,1,1,3,3,1,1,1,1,2,1,1,1,3,1,2,1,1,1,2,2,1,1,1,1,1,1,1,4.75,3,5,3.75,4.125,4.25,-8,-4,-12,1.5,3,2.66666666666667,1.5
"22","1",25,"3",-2,-1,2,-2,1,1,-2,-2,1,4,3,5,2,2,3,5,3,5,4,5,4,3,5,5,3,1,2,3,4,3,1,2,6,4,3,3,4,2,4,6,3,4,3,5,4,3,3,4,3,3,2,3,5,2,5,4,3,3,3,3,2,2,5,2,3,1,3,2,2,3,2,3,3,2,2,3,2,3,4,2,4,4,2,3,3,1,2,2,5,1,4,4,1,1,2,2.5,3.5,3.75,5,3.6875,2.25,-5,0,-5,3.125,3.8,3.46666666666667,2.56666666666667
"23","1",24,"4",-2,-1,-1,-2,-1,-1,-2,-2,3,2,4,4,4,5,3,4,5,5,5,4,5,5,3,5,5,5,4,4,4,1,4,4,4,4,2,5,2,6,4,4,4,4,1,2,2,2,3,1,1,3,1,1,4,1,2,2,2,3,1,1,1,2,4,2,3,3,4,4,2,1,3,3,2,2,2,1,1,3,4,2,5,2,2,3,1,1,1,4,1,1,1,1,1,1,1,4.25,4.25,3.75,4.25,4.125,4.5,-7,-5,-12,1.9375,2,3.53333333333333,2.06666666666667
"24","1",60,"2",-1,-2,-1,-2,-2,-1,-2,-2,3,4,2,4,1,3,3,2,4,1,5,5,2,4,2,2,4,3,2,4,4,3,3,3,5,3,4,3,2,3,3,5,3,4,3,5,3,5,2,3,1,4,1,2,1,1,2,3,2,2,1,2,2,2,2,2,3,3,1,3,2,1,1,3,2,2,2,2,2,1,4,1,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2.5,3,3,3.25,2.9375,3.25,-7,-6,-13,1.875,3.6,3.4,1.66666666666667
"25","2",23,"5",-2,2,-1,-1,-2,2,-1,-2,3,1,2,3,3,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,2,1,3,2,1,1,1,1,1,1,2,1,2,2,4,4,3,4,5,2,2,1,2,5,2,2,3,1,3,3,3,1,1,3,1,1,1,1,2,1,1,1,4,1,1,1,1,4,1,1,2,4,2,2,1,1,1,1,3,1,5,1,1,1,1,1,3.5,2.5,3.5,3.5,3.25,3.75,-7,2,-5,2.1875,4,1.6,1.6
"26","1",25,"5",-2,1,1,-2,2,2,-2,1,5,3,4,2,3,3,2,2,4,1,1,4,5,4,2,1,4,2,3,1,4,1,1,3,6,5,6,6,4,1,4,5,3,4,3,6,4,2,5,2,1,2,1,1,1,2,1,4,2,3,1,5,1,2,5,1,1,5,1,1,2,1,1,4,2,4,2,3,5,1,5,4,5,3,2,4,1,2,4,3,1,4,5,4,1,4,1,4.25,2.75,2.25,2.25,2.875,2.5,-1,2,1,2.0625,3.8,3.73333333333333,2.83333333333333
"27","1",25,"5",1,-2,-2,-2,-2,1,-2,-1,2,4,4,5,3,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,2,2,1,4,3,4,2,1,1,1,4,1,4,2,5,4,4,4,3,1,1,1,1,1,1,1,4,3,3,3,1,3,1,1,2,3,1,2,2,3,5,1,4,3,1,1,4,4,1,1,2,2,2,4,4,1,1,1,4,1,4,1,4,1,1,1,3.5,4.75,4.75,4.75,4.4375,4.75,-4,-5,-9,1.75,4,2.46666666666667,2.26666666666667
"28","1",45,"5",-2,-2,-1,-2,-2,2,-2,-2,5,4,4,5,4,4,5,4,5,2,5,5,4,4,4,5,4,4,4,2,3,1,1,1,3,2,1,1,1,1,3,4,2,2,1,1,1,1,1,1,2,2,1,1,1,2,5,2,2,2,2,2,1,1,1,1,3,3,3,2,1,1,3,3,2,3,1,1,3,1,4,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,4.5,3.5,4.5,4.75,4.3125,3.5,-8,-3,-11,1.75,1,1.8,1.7
"29","1",57,"5",-2,-2,1,-2,1,-1,-2,1,2,2,2,3,2,2,4,4,3,4,4,3,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,5,4,3,3,3,2,3,3,3,2,1,1,5,2,3,3,1,4,1,1,3,5,2,1,4,1,1,1,1,2,2,2,3,2,2,3,1,4,3,1,5,1,1,2,5,1,5,4,2,1,1,1,2.5,2.5,3.5,3.5,3,3.25,-2,-4,-6,2.375,3.6,2.66666666666667,2.2
"30","1",25,"2",-2,-2,-2,-2,1,-1,-1,-1,2,2,4,5,4,5,4,4,4,4,2,5,4,5,4,4,4,3,4,4,3,2,2,1,3,2,1,3,2,1,3,4,2,2,2,1,4,1,2,1,2,1,2,1,1,1,5,1,2,2,2,1,1,1,1,1,3,1,1,2,1,1,1,4,1,1,1,2,1,1,3,1,4,1,1,3,1,1,2,3,1,1,1,1,1,1,1,3.5,4,3.5,4.5,3.875,3.75,-3,-7,-10,1.5625,1.8,2.2,1.53333333333333
"31","1",21,"4",-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,5,3,3,3,4,3,5,3,5,3,2,4,5,4,2,5,5,4,1,4,1,2,1,2,1,1,4,2,2,1,1,1,4,1,1,2,1,2,1,1,2,2,2,1,1,2,2,3,1,2,2,1,2,1,1,3,2,2,1,4,1,1,1,3,2,4,1,3,1,4,2,2,5,2,1,1,3,1,5,1,3,1,1,1,3.25,3.5,3.5,4.75,3.75,4,-8,-8,-16,1.6875,1.8,1.86666666666667,2.06666666666667
"32","1",27,"5",-2,1,-2,1,-2,1,-1,-2,4,2,2,4,2,1,4,3,2,5,3,3,2,2,5,3,4,4,3,4,3,4,1,6,1,1,2,5,2,1,1,1,5,1,5,3,1,2,1,2,2,2,2,2,2,1,5,1,3,3,1,1,1,4,1,1,3,3,4,4,4,3,3,4,4,4,2,2,2,3,3,2,3,3,2,5,3,1,4,5,1,2,4,4,1,1,1,2.5,2.5,3.5,3.25,2.9375,3.75,-7,1,-6,2,1.8,2.6,2.86666666666667
"33","2",21,"4",-2,-2,-2,-1,2,1,1,2,3,3,3,4,4,2,4,4,3,3,4,4,5,5,1,4,5,5,5,4,3,3,1,3,1,1,2,4,2,1,1,1,1,1,1,2,1,2,2,3,1,1,1,2,2,1,2,3,1,3,1,1,1,2,3,3,5,1,2,4,2,2,1,4,2,2,1,1,1,2,5,1,2,1,1,2,1,1,1,4,1,1,1,3,1,1,1,3.75,3.25,3,4,3.5,4.75,3,-4,-1,1.75,2,1.73333333333333,1.8
"34","1",19,"4",-2,-2,-2,-2,-2,-2,-2,-2,3,2,4,4,2,4,5,4,3,4,3,4,3,4,5,4,3,2,3,4,4,3,2,5,3,1,2,1,1,2,4,3,4,4,5,3,2,2,2,5,2,4,1,2,2,1,1,2,1,2,3,1,1,2,5,1,1,2,4,4,1,3,4,3,1,3,1,5,1,1,4,1,4,2,1,1,1,1,3,3,1,1,1,1,1,1,2,2.75,3.5,4.25,4,3.625,3,-8,-8,-16,1.9375,2.8,2.93333333333333,1.96666666666667
"35","2",24,"4",-2,2,-2,1,2,2,-2,2,3,1,5,2,3,5,2,3,5,4,2,4,3,1,1,3,4,1,3,2,5,4,4,4,4,4,5,1,2,3,5,5,3,4,4,3,4,2,5,2,4,3,3,1,5,2,4,4,3,3,2,5,2,2,4,2,5,3,2,1,4,3,3,3,2,4,2,2,3,2,1,2,5,2,2,4,2,1,4,5,1,5,3,1,1,1,1,3.5,2.75,2.5,3,2.9375,2.5,0,3,3,3.0625,3.2,3.8,2.63333333333333
"36","1",23,"5",-2,-2,1,1,1,1,-2,-1,2,2,2,5,3,4,1,4,3,2,4,4,5,4,3,4,4,3,4,4,3,2,2,2,4,3,4,4,4,3,4,5,4,4,4,3,2,5,2,2,2,1,1,2,1,1,1,2,2,2,1,2,3,1,2,2,4,3,3,4,2,3,2,4,3,1,1,3,1,3,3,3,2,3,2,4,2,1,2,2,1,1,2,1,1,1,1,3.25,3,2.5,4.25,3.25,3.75,-4,1,-3,1.625,2.8,3.46666666666667,2.16666666666667
"37","1",34,"5",-2,-1,-1,-1,-2,1,-2,1,4,2,3,3,2,2,1,3,3,4,3,3,4,4,1,2,3,2,3,5,5,3,2,4,3,3,2,4,1,2,4,3,4,4,3,6,4,2,4,2,2,2,1,3,1,3,2,4,1,1,1,4,2,2,5,3,4,2,3,3,2,1,2,4,1,2,2,2,2,1,4,1,2,1,1,4,3,1,1,4,1,2,4,3,1,1,1,3.25,3,2,2.75,2.75,3.25,-5,-2,-7,2.3125,3.6,3.13333333333333,2.1
"38","2",21,"4",-2,2,-2,-2,-1,1,1,1,2,1,2,4,1,2,3,3,1,2,2,3,2,2,2,3,5,3,3,4,3,1,3,1,2,4,4,2,2,2,2,3,3,3,3,4,4,2,4,3,5,2,2,1,4,2,4,4,3,3,1,2,2,2,1,5,5,4,4,2,3,3,1,4,3,4,2,2,1,4,2,4,4,1,4,5,1,1,5,3,1,1,2,1,1,1,1,1.5,1.75,2.25,3.25,2.1875,3.75,-1,-1,-2,2.6875,3.4,2.53333333333333,2.6
"39","2",40,"4",-1,-1,2,-2,1,1,-2,-2,2,4,5,5,2,4,4,4,4,4,5,3,4,4,5,4,4,3,3,4,4,2,1,5,2,2,2,4,1,1,4,2,1,5,4,3,1,2,4,2,3,4,2,3,1,2,2,4,2,2,3,4,2,4,2,1,3,1,1,5,1,1,3,4,2,3,1,3,4,1,1,1,1,2,1,2,1,1,1,5,4,1,4,2,1,1,1,3,4,4.75,4,3.9375,3.5,-4,0,-4,2.5625,2.4,2.66666666666667,1.93333333333333
"40","1",52,"5",-1,1,-1,-2,-2,-2,-2,-2,4,4,3,5,3,2,4,4,4,1,4,5,2,4,4,4,4,4,4,3,3,2,1,1,5,2,2,2,2,1,5,4,2,4,2,1,1,2,1,2,2,2,1,2,1,2,5,3,2,3,3,1,2,1,1,1,3,2,1,2,1,1,2,4,3,4,1,3,4,3,4,2,3,2,2,3,1,1,1,5,1,4,2,1,1,1,1,3.25,2.75,3.75,4.5,3.5625,3.75,-7,-4,-11,2,1.4,2.53333333333333,2.23333333333333
"41","2",22,"4",-2,-2,1,-2,2,1,-2,-2,2,1,2,2,2,2,4,5,5,4,4,4,4,1,1,3,5,4,2,4,4,5,5,6,5,4,4,4,5,6,3,6,5,5,4,5,1,2,2,1,1,3,2,3,4,5,3,4,1,4,2,1,1,2,5,1,4,1,1,1,1,4,1,3,3,1,2,2,2,4,4,2,1,2,2,5,2,1,2,2,1,1,1,1,1,1,1,3.25,2,2.75,3.5,2.875,3.75,-4,-2,-6,2.625,2.2,4.73333333333333,1.96666666666667
"42","1",25,"5",-2,-2,-2,-2,-2,1,-2,-1,4,4,5,5,5,5,3,5,5,5,4,3,5,5,2,3,4,3,4,4,3,2,3,1,2,2,2,1,2,2,3,2,1,2,1,5,2,2,1,1,1,1,1,2,1,2,1,2,1,3,3,1,1,1,1,1,4,1,3,2,1,1,3,3,2,2,1,2,2,1,4,1,3,2,1,3,1,1,1,5,1,5,1,1,1,1,1,4.75,4.75,3.5,4,4.25,3.75,-7,-5,-12,1.4375,2.2,1.93333333333333,1.96666666666667
"43","2",57,"3",-2,-2,-1,-2,-2,-2,-2,-1,4,5,1,4,2,5,4,4,4,4,3,5,5,5,4,4,4,3,5,2,3,4,2,3,2,2,3,1,1,2,2,2,1,2,3,3,1,3,3,2,1,4,1,2,5,3,5,3,2,2,1,1,2,1,2,4,4,1,1,3,1,1,1,3,3,2,1,2,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3.75,4.75,3,4.25,3.9375,3.5,-7,-7,-14,2.4375,2.4,2.2,1.46666666666667
"44","1",31,"4",-2,-2,-2,-2,1,2,-2,1,3,4,5,4,4,4,5,3,5,4,3,4,4,4,3,3,4,3,3,4,3,4,3,5,6,4,1,5,2,5,5,6,6,6,5,4,5,2,2,1,1,2,2,2,3,2,2,3,1,2,3,3,1,2,2,2,2,2,3,2,1,1,1,3,1,1,2,3,3,1,1,1,3,2,2,5,1,1,1,4,1,4,4,1,1,1,1,4,4,4,3.5,3.875,3.5,-2,-4,-6,2.0625,2.8,4.4,1.93333333333333
"45","1",20,"1",-2,-2,1,1,1,1,-1,-2,1,3,2,4,5,1,2,2,3,3,3,4,1,3,2,3,4,3,1,3,2,5,4,3,1,1,4,6,2,2,1,3,1,1,2,6,4,3,4,3,2,3,1,1,2,4,2,3,3,4,4,4,4,3,2,3,4,1,1,1,5,2,5,2,5,2,2,1,5,1,1,4,2,2,1,3,2,1,3,4,1,2,1,1,1,1,1,2.5,2.5,2.25,3.25,2.625,2.75,-4,1,-3,2.8125,4,2.53333333333333,2.23333333333333
"46","1",68,"4",-2,-2,-2,-2,-2,-2,-2,-2,5,4,3,5,5,4,3,5,4,2,4,4,2,4,3,4,5,3,4,4,2,2,1,1,4,1,1,1,1,1,3,3,1,3,1,5,4,4,6,4,2,3,1,2,3,2,2,4,3,4,2,3,4,3,4,2,4,3,1,2,2,1,3,3,4,4,2,2,1,1,2,1,3,2,2,4,5,1,2,5,1,5,1,1,1,1,1,4,3.5,3.25,4.5,3.8125,4,-8,-8,-16,2.75,4.6,1.73333333333333,2.3
"47","1",44,"5",-2,2,-1,-2,-2,1,-2,-1,4,4,4,5,3,2,5,5,3,5,5,5,5,4,5,4,4,4,4,4,3,1,1,1,3,2,2,4,2,2,4,2,2,3,3,4,2,1,2,1,1,1,1,1,5,1,5,1,1,1,2,1,1,1,4,1,5,1,2,4,2,1,1,3,2,2,1,2,2,3,4,2,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3.75,3.75,4.75,4.75,4.25,4,-7,0,-7,1.75,2,2.33333333333333,1.8
"48","2",29,"5",1,1,2,1,1,-1,-2,-1,2,2,3,4,1,5,3,2,4,5,4,4,3,4,2,5,2,2,4,3,2,2,1,3,3,3,1,3,3,2,2,3,2,5,2,2,2,2,2,3,2,2,2,1,1,1,5,4,3,3,2,1,1,1,1,5,3,2,3,2,3,1,5,3,3,3,1,4,4,3,4,2,1,1,1,4,1,1,2,5,1,1,4,1,1,1,1,2.5,4,3,3.75,3.3125,2.75,-1,3,2,2.1875,2.2,2.46666666666667,2.33333333333333
"49","1",29,"2",-2,1,2,-2,-2,2,-2,-2,1,1,4,3,1,4,4,4,2,2,4,2,1,4,1,3,4,3,3,2,5,4,1,2,6,6,6,3,1,3,6,6,2,6,3,4,4,4,4,3,2,2,4,3,4,2,3,4,2,3,5,3,3,2,4,2,4,3,5,3,3,3,2,5,1,2,1,3,3,3,5,2,5,3,2,4,1,1,4,4,1,1,1,1,1,1,1,1.25,2.75,3.25,3,2.5625,3,-8,3,-5,3,3.8,4,2.53333333333333
"50","1",45,"5",-2,-1,-2,-2,-2,1,-1,-2,3,4,4,3,2,4,4,3,5,4,5,4,3,5,5,2,4,4,2,5,6,5,3,5,6,4,5,4,2,3,5,5,5,6,6,5,4,4,2,3,1,1,1,2,5,2,1,3,2,3,2,2,1,2,3,1,1,2,2,2,1,1,2,4,1,1,1,1,1,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3.25,4.25,4.5,3,3.75,3.75,-7,-4,-11,2,3.6,4.66666666666667,1.4
